index,offer_id,slide,filename,public_url
1,ld-SET-1008017-1108017-,01-slide,0001_ld-SET-1008017-1108017-_01-slide.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0001_ld-SET-1008017-1108017-_01-slide.jpg
1,ld-SET-1008017-1108017-,02-benefits,0001_ld-SET-1008017-1108017-_02-benefits.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0001_ld-SET-1008017-1108017-_02-benefits.jpg
1,ld-SET-1008017-1108017-,03-tech,0001_ld-SET-1008017-1108017-_03-tech.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0001_ld-SET-1008017-1108017-_03-tech.jpg
1,ld-SET-1008017-1108017-,04-conditions,0001_ld-SET-1008017-1108017-_04-conditions.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0001_ld-SET-1008017-1108017-_04-conditions.jpg
1,ld-SET-1008017-1108017-,05-specs,0001_ld-SET-1008017-1108017-_05-specs.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0001_ld-SET-1008017-1108017-_05-specs.jpg
1,ld-SET-1008017-1108017-,06-marking,0001_ld-SET-1008017-1108017-_06-marking.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0001_ld-SET-1008017-1108017-_06-marking.jpg
1,ld-SET-1008017-1108017-,07-guide,0001_ld-SET-1008017-1108017-_07-guide.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0001_ld-SET-1008017-1108017-_07-guide.jpg
1,ld-SET-1008017-1108017-,08-supplier,0001_ld-SET-1008017-1108017-_08-supplier.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0001_ld-SET-1008017-1108017-_08-supplier.jpg
2,ld-SET-909014-1009014-454483139610,01-slide,0002_ld-SET-909014-1009014-454483139610_01-slide.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0002_ld-SET-909014-1009014-454483139610_01-slide.jpg
2,ld-SET-909014-1009014-454483139610,02-benefits,0002_ld-SET-909014-1009014-454483139610_02-benefits.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0002_ld-SET-909014-1009014-454483139610_02-benefits.jpg
2,ld-SET-909014-1009014-454483139610,03-tech,0002_ld-SET-909014-1009014-454483139610_03-tech.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0002_ld-SET-909014-1009014-454483139610_03-tech.jpg
2,ld-SET-909014-1009014-454483139610,04-conditions,0002_ld-SET-909014-1009014-454483139610_04-conditions.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0002_ld-SET-909014-1009014-454483139610_04-conditions.jpg
2,ld-SET-909014-1009014-454483139610,05-specs,0002_ld-SET-909014-1009014-454483139610_05-specs.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-moto-infographics-1200-20260720-jpg/main/0002_ld-SET-909014-1009014-454483139610_05-specs.jpg
